uniprot,organism,ogt,organism_class,tm,n_datasets
R4YKD3,Oleispira antarctica,15.0,psychrophile,52.03,1
R4YKD6,Oleispira antarctica,15.0,psychrophile,37.36,1
R4YKD8,Oleispira antarctica,15.0,psychrophile,40.21,1
R4YKD9,Oleispira antarctica,15.0,psychrophile,40.82,1
R4YKE3,Oleispira antarctica,15.0,psychrophile,40.39,1
R4YKF4,Oleispira antarctica,15.0,psychrophile,46.03,1
R4YKF5,Oleispira antarctica,15.0,psychrophile,38.23,1
R4YKG3,Oleispira antarctica,15.0,psychrophile,45.42,1
R4YKG4,Oleispira antarctica,15.0,psychrophile,46.72,1
R4YKG8,Oleispira antarctica,15.0,psychrophile,38.79,1
R4YKH2,Oleispira antarctica,15.0,psychrophile,37.56,1
R4YKJ0,Oleispira antarctica,15.0,psychrophile,38.34,1
R4YKJ9,Oleispira antarctica,15.0,psychrophile,44.4,1
R4YKK1,Oleispira antarctica,15.0,psychrophile,39.36,1
R4YKK8,Oleispira antarctica,15.0,psychrophile,38.57,1
R4YKK9,Oleispira antarctica,15.0,psychrophile,45.14,1
R4YKL6,Oleispira antarctica,15.0,psychrophile,52.69,1
R4YKM0,Oleispira antarctica,15.0,psychrophile,49.82,1
R4YKM6,Oleispira antarctica,15.0,psychrophile,40.2,1
R4YKM7,Oleispira antarctica,15.0,psychrophile,50.87,1
R4YKM8,Oleispira antarctica,15.0,psychrophile,40.17,1
R4YKN0,Oleispira antarctica,15.0,psychrophile,41.02,1
R4YKN4,Oleispira antarctica,15.0,psychrophile,54.92,1
R4YKN8,Oleispira antarctica,15.0,psychrophile,44.74,1
R4YKN9,Oleispira antarctica,15.0,psychrophile,39.3,1
R4YKP0,Oleispira antarctica,15.0,psychrophile,37.26,1
R4YKP3,Oleispira antarctica,15.0,psychrophile,51.59,1
R4YKP6,Oleispira antarctica,15.0,psychrophile,43.54,1
R4YKQ2,Oleispira antarctica,15.0,psychrophile,41.68,1
R4YKQ4,Oleispira antarctica,15.0,psychrophile,40.08,1
R4YKQ8,Oleispira antarctica,15.0,psychrophile,46.92,1
R4YKR0,Oleispira antarctica,15.0,psychrophile,39.1,1
R4YKR3,Oleispira antarctica,15.0,psychrophile,45.23,1
R4YKR5,Oleispira antarctica,15.0,psychrophile,39.26,1
R4YKS1,Oleispira antarctica,15.0,psychrophile,43.47,1
R4YKS7,Oleispira antarctica,15.0,psychrophile,39.6,1
R4YKT1,Oleispira antarctica,15.0,psychrophile,49.05,1
R4YKT2,Oleispira antarctica,15.0,psychrophile,47.33,1
R4YKT4,Oleispira antarctica,15.0,psychrophile,39.91,1
R4YKT5,Oleispira antarctica,15.0,psychrophile,39.88,1
R4YKT6,Oleispira antarctica,15.0,psychrophile,40.54,1
R4YKT7,Oleispira antarctica,15.0,psychrophile,40.2,1
R4YKU3,Oleispira antarctica,15.0,psychrophile,38.7,1
R4YKV6,Oleispira antarctica,15.0,psychrophile,38.46,1
R4YKW0,Oleispira antarctica,15.0,psychrophile,45.74,1
R4YKW8,Oleispira antarctica,15.0,psychrophile,36.55,1
R4YKW9,Oleispira antarctica,15.0,psychrophile,45.5,1
R4YKX1,Oleispira antarctica,15.0,psychrophile,39.69,1
R4YKX5,Oleispira antarctica,15.0,psychrophile,45.74,1
R4YKX6,Oleispira antarctica,15.0,psychrophile,37.58,1
R4YKY0,Oleispira antarctica,15.0,psychrophile,42.29,1
R4YKY1,Oleispira antarctica,15.0,psychrophile,49.22,1
R4YKY2,Oleispira antarctica,15.0,psychrophile,37.91,1
R4YKY8,Oleispira antarctica,15.0,psychrophile,46.98,1
R4YKZ8,Oleispira antarctica,15.0,psychrophile,41.16,1
R4YL03,Oleispira antarctica,15.0,psychrophile,42.36,1
R4YL04,Oleispira antarctica,15.0,psychrophile,40.46,1
R4YL05,Oleispira antarctica,15.0,psychrophile,41.83,1
R4YL07,Oleispira antarctica,15.0,psychrophile,39.08,1
R4YL10,Oleispira antarctica,15.0,psychrophile,40.26,1
R4YL11,Oleispira antarctica,15.0,psychrophile,44.34,1
R4YL18,Oleispira antarctica,15.0,psychrophile,50.03,1
R4YL19,Oleispira antarctica,15.0,psychrophile,41.16,1
R4YL21,Oleispira antarctica,15.0,psychrophile,41.39,1
R4YL22,Oleispira antarctica,15.0,psychrophile,41.9,1
R4YL23,Oleispira antarctica,15.0,psychrophile,40.78,1
R4YL25,Oleispira antarctica,15.0,psychrophile,39.45,1
R4YL36,Oleispira antarctica,15.0,psychrophile,39.95,1
R4YL43,Oleispira antarctica,15.0,psychrophile,46.75,1
R4YL46,Oleispira antarctica,15.0,psychrophile,45.81,1
R4YL48,Oleispira antarctica,15.0,psychrophile,45.99,1
R4YL51,Oleispira antarctica,15.0,psychrophile,43.21,1
R4YL52,Oleispira antarctica,15.0,psychrophile,50.48,1
R4YL54,Oleispira antarctica,15.0,psychrophile,54.03,1
R4YL56,Oleispira antarctica,15.0,psychrophile,37.76,1
R4YL61,Oleispira antarctica,15.0,psychrophile,38.91,1
R4YL62,Oleispira antarctica,15.0,psychrophile,38.55,1
R4YL63,Oleispira antarctica,15.0,psychrophile,38.44,1
R4YL66,Oleispira antarctica,15.0,psychrophile,41.63,1
R4YL67,Oleispira antarctica,15.0,psychrophile,40.41,1
R4YL75,Oleispira antarctica,15.0,psychrophile,44.82,1
R4YL77,Oleispira antarctica,15.0,psychrophile,42.48,1
R4YL78,Oleispira antarctica,15.0,psychrophile,38.43,1
R4YL81,Oleispira antarctica,15.0,psychrophile,43.31,1
R4YL85,Oleispira antarctica,15.0,psychrophile,47.68,1
R4YL90,Oleispira antarctica,15.0,psychrophile,38.52,1
R4YL92,Oleispira antarctica,15.0,psychrophile,36.53,1
R4YL93,Oleispira antarctica,15.0,psychrophile,43.75,1
R4YL97,Oleispira antarctica,15.0,psychrophile,50.77,1
R4YL98,Oleispira antarctica,15.0,psychrophile,39.34,1
R4YL99,Oleispira antarctica,15.0,psychrophile,41.87,1
R4YLA7,Oleispira antarctica,15.0,psychrophile,41.45,1
R4YLA8,Oleispira antarctica,15.0,psychrophile,37.34,1
R4YLA9,Oleispira antarctica,15.0,psychrophile,45.44,1
R4YLB1,Oleispira antarctica,15.0,psychrophile,47.67,1
R4YLB4,Oleispira antarctica,15.0,psychrophile,36.11,1
